district,date,month,year,visitors
Adilabad,1/1/2016,January,2016,2
Adilabad,2/1/2016,February,2016,0
Adilabad,3/1/2016,March,2016,2
Adilabad,4/1/2016,April,2016,0
Adilabad,5/1/2016,May,2016,0
Adilabad,6/1/2016,June,2016,0
Adilabad,7/1/2016,July,2016,4
Adilabad,8/1/2016,August,2016,2
Adilabad,9/1/2016,September,2016,0
Adilabad,10/1/2016,October,2016,0
Adilabad,11/1/2016,November,2016,0
Adilabad,12/1/2016,December,2016,0
Bhadradri0Kothagudem0,1/1/2016,January,2016,0
Bhadradri0Kothagudem0,2/1/2016,February,2016,0
Bhadradri0Kothagudem0,3/1/2016,March,2016,0
Bhadradri0Kothagudem0,4/1/2016,April,2016,0
Bhadradri0Kothagudem0,5/1/2016,May,2016,0
Bhadradri0Kothagudem0,6/1/2016,June,2016,0
Bhadradri0Kothagudem0,7/1/2016,July,2016,0
Bhadradri0Kothagudem0,8/1/2016,August,2016,0
Bhadradri0Kothagudem0,9/1/2016,September,2016,0
Bhadradri0Kothagudem0,10/1/2016,October,2016,0
Bhadradri0Kothagudem0,11/1/2016,November,2016,0
Bhadradri0Kothagudem0,12/1/2016,December,2016,0
Hyderabad,1/1/2016,January,2016,15865
Hyderabad,2/1/2016,February,2016,29646
Hyderabad,3/1/2016,March,2016,13019
Hyderabad,4/1/2016,April,2016,8402
Hyderabad,5/1/2016,May,2016,8522
Hyderabad,6/1/2016,June,2016,10284
Hyderabad,7/1/2016,July,2016,17142
Hyderabad,8/1/2016,August,2016,12842
Hyderabad,9/1/2016,September,2016,9397
Hyderabad,10/1/2016,October,2016,12808
Hyderabad,11/1/2016,November,2016,8084
Hyderabad,12/1/2016,December,2016,17620
Jagtial0,1/1/2016,January,2016,0
Jagtial0,2/1/2016,February,2016,0
Jagtial0,3/1/2016,March,2016,0
Jagtial0,4/1/2016,April,2016,0
Jagtial0,5/1/2016,May,2016,0
Jagtial0,6/1/2016,June,2016,0
Jagtial0,7/1/2016,July,2016,0
Jagtial0,8/1/2016,August,2016,0
Jagtial0,9/1/2016,September,2016,0
Jagtial0,10/1/2016,October,2016,0
Jagtial0,11/1/2016,November,2016,0
Jagtial0,12/1/2016,December,2016,0
Jangaon0,1/1/2016,January,2016,0
Jangaon0,2/1/2016,February,2016,0
Jangaon0,3/1/2016,March,2016,0
Jangaon0,4/1/2016,April,2016,0
Jangaon0,5/1/2016,May,2016,0
Jangaon0,6/1/2016,June,2016,0
Jangaon0,7/1/2016,July,2016,0
Jangaon0,8/1/2016,August,2016,0
Jangaon0,9/1/2016,September,2016,0
Jangaon0,10/1/2016,October,2016,0
Jangaon0,11/1/2016,November,2016,2
Jangaon0,12/1/2016,December,2016,0
Jayashankar0Bhoopalpally,1/1/2016,January,2016,0
Jayashankar0Bhoopalpally,2/1/2016,February,2016,0
Jayashankar0Bhoopalpally,3/1/2016,March,2016,0
Jayashankar0Bhoopalpally,4/1/2016,April,2016,0
Jayashankar0Bhoopalpally,5/1/2016,May,2016,0
Jayashankar0Bhoopalpally,6/1/2016,June,2016,0
Jayashankar0Bhoopalpally,7/1/2016,July,2016,0
Jayashankar0Bhoopalpally,8/1/2016,August,2016,0
Jayashankar0Bhoopalpally,9/1/2016,September,2016,0
Jayashankar0Bhoopalpally,10/1/2016,October,2016,24
Jayashankar0Bhoopalpally,11/1/2016,November,2016,22
Jayashankar0Bhoopalpally,12/1/2016,December,2016,40
Jogulamba0Gadwal0,1/1/2016,January,2016,0
Jogulamba0Gadwal0,2/1/2016,February,2016,0
Jogulamba0Gadwal0,3/1/2016,March,2016,0
Jogulamba0Gadwal0,4/1/2016,April,2016,0
Jogulamba0Gadwal0,5/1/2016,May,2016,0
Jogulamba0Gadwal0,6/1/2016,June,2016,0
Jogulamba0Gadwal0,7/1/2016,July,2016,0
Jogulamba0Gadwal0,8/1/2016,August,2016,0
Jogulamba0Gadwal0,9/1/2016,September,2016,0
Jogulamba0Gadwal0,10/1/2016,October,2016,13
Jogulamba0Gadwal0,11/1/2016,November,2016,21
Jogulamba0Gadwal0,12/1/2016,December,2016,11
Kamareddy0,1/1/2016,January,2016,0
Kamareddy0,2/1/2016,February,2016,0
Kamareddy0,3/1/2016,March,2016,0
Kamareddy0,4/1/2016,April,2016,0
Kamareddy0,5/1/2016,May,2016,0
Kamareddy0,6/1/2016,June,2016,0
Kamareddy0,7/1/2016,July,2016,0
Kamareddy0,8/1/2016,August,2016,0
Kamareddy0,9/1/2016,September,2016,0
Kamareddy0,10/1/2016,October,2016,0
Kamareddy0,11/1/2016,November,2016,0
Kamareddy0,12/1/2016,December,2016,0
Karimnagar0,1/1/2016,January,2016,0
Karimnagar0,2/1/2016,February,2016,0
Karimnagar0,3/1/2016,March,2016,0
Karimnagar0,4/1/2016,April,2016,0
Karimnagar0,5/1/2016,May,2016,0
Karimnagar0,6/1/2016,June,2016,0
Karimnagar0,7/1/2016,July,2016,0
Karimnagar0,8/1/2016,August,2016,0
Karimnagar0,9/1/2016,September,2016,0
Karimnagar0,10/1/2016,October,2016,0
Karimnagar0,11/1/2016,November,2016,0
Karimnagar0,12/1/2016,December,2016,0
Khammam,1/1/2016,January,2016,0
Khammam,2/1/2016,February,2016,0
Khammam,3/1/2016,March,2016,0
Khammam,4/1/2016,April,2016,0
Khammam,5/1/2016,May,2016,0
Khammam,6/1/2016,June,2016,0
Khammam,7/1/2016,July,2016,0
Khammam,8/1/2016,August,2016,0
Khammam,9/1/2016,September,2016,0
Khammam,10/1/2016,October,2016,0
Khammam,11/1/2016,November,2016,0
Khammam,12/1/2016,December,2016,0
Komaram0Bheem0Asifabad,1/1/2016,January,2016,0
Komaram0Bheem0Asifabad,2/1/2016,February,2016,0
Komaram0Bheem0Asifabad,3/1/2016,March,2016,0
Komaram0Bheem0Asifabad,4/1/2016,April,2016,0
Komaram0Bheem0Asifabad,5/1/2016,May,2016,0
Komaram0Bheem0Asifabad,6/1/2016,June,2016,0
Komaram0Bheem0Asifabad,7/1/2016,July,2016,0
Komaram0Bheem0Asifabad,8/1/2016,August,2016,0
Komaram0Bheem0Asifabad,9/1/2016,September,2016,0
Komaram0Bheem0Asifabad,10/1/2016,October,2016,0
Komaram0Bheem0Asifabad,11/1/2016,November,2016,0
Komaram0Bheem0Asifabad,12/1/2016,December,2016,0
Mahabubabad0,1/1/2016,January,2016,0
Mahabubabad0,2/1/2016,February,2016,0
Mahabubabad0,3/1/2016,March,2016,0
Mahabubabad0,4/1/2016,April,2016,0
Mahabubabad0,5/1/2016,May,2016,0
Mahabubabad0,6/1/2016,June,2016,0
Mahabubabad0,7/1/2016,July,2016,0
Mahabubabad0,8/1/2016,August,2016,0
Mahabubabad0,9/1/2016,September,2016,0
Mahabubabad0,10/1/2016,October,2016,0
Mahabubabad0,11/1/2016,November,2016,0
Mahabubabad0,12/1/2016,December,2016,0
Mahbubnagar,1/1/2016,January,2016,123
Mahbubnagar,2/1/2016,February,2016,126
Mahbubnagar,3/1/2016,March,2016,103
Mahbubnagar,4/1/2016,April,2016,75
Mahbubnagar,5/1/2016,May,2016,58
Mahbubnagar,6/1/2016,June,2016,68
Mahbubnagar,7/1/2016,July,2016,63
Mahbubnagar,8/1/2016,August,2016,86
Mahbubnagar,9/1/2016,September,2016,74
Mahbubnagar,10/1/2016,October,2016,37
Mahbubnagar,11/1/2016,November,2016,29
Mahbubnagar,12/1/2016,December,2016,26
Mancherial,1/1/2016,January,2016,0
Mancherial,2/1/2016,February,2016,0
Mancherial,3/1/2016,March,2016,0
